"crop","pest","pest_species","plant_stage","symptom_leaf_damage","symptom_yellowing","symptom_curling","symptom_spots","symptom_holes","symptom_wilting","pest_density","affected_area_percent","severity","economic_threshold","temperature","humidity","season","intervention","recommendation_class","active_ingredient","formulation","dose","application_method","symptom_text","evidence_type","source","source_date"
"Tomato","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Potato","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Groundnut","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Chickpea","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Pigeon Pea","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Other","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Wheat","Caterpillars","Crop-specific caterpillar species","Crop growth stage","1","0","0","0","1","0","Monitor larval activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm caterpillar species and assess crop damage before treatment. Use integrated pest management and only apply a validated crop-specific control when the economic threshold is reached.","caterpillar_management","","","","","Caterpillars may cause leaf feeding, holes or defoliation; identify the species and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Caterpillars","Crop-specific caterpillar species","Crop growth stage","1","0","0","0","1","0","Monitor larval activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm caterpillar species and assess crop damage before treatment. Use integrated pest management and only apply a validated crop-specific control when the economic threshold is reached.","caterpillar_management","","","","","Caterpillars may cause leaf feeding, holes or defoliation; identify the species and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Caterpillars","Crop-specific caterpillar species","Crop growth stage","1","0","0","0","1","0","Monitor larval activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm caterpillar species and assess crop damage before treatment. Use integrated pest management and only apply a validated crop-specific control when the economic threshold is reached.","caterpillar_management","","","","","Caterpillars may cause leaf feeding, holes or defoliation; identify the species and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Caterpillars","Crop-specific caterpillar species","Crop growth stage","1","0","0","0","1","0","Monitor larval activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm caterpillar species and assess crop damage before treatment. Use integrated pest management and only apply a validated crop-specific control when the economic threshold is reached.","caterpillar_management","","","","","Caterpillars may cause leaf feeding, holes or defoliation; identify the species and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Caterpillars","Crop-specific caterpillar species","Crop growth stage","1","0","0","0","1","0","Monitor larval activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm caterpillar species and assess crop damage before treatment. Use integrated pest management and only apply a validated crop-specific control when the economic threshold is reached.","caterpillar_management","","","","","Caterpillars may cause leaf feeding, holes or defoliation; identify the species and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
